Team,Strength,StandardDeviation,PointsMargin,AverageOpponentStrength,RushingYardsMargin,HomeFieldCorrection,GamesPlayed
Cincinnati,17.9,0.0,18.8,0.0,135.7,-0.0,1
Connecticut,-47.6,0.0,-28.3,0.0,-136.6,0.0,1
EastCarolina,-26.5,0.0,-14.6,0.0,-40.1,-0.0,1
SouthFlorida,-17.4,0.0,-2.3,0.0,-42.4,-0.0,1
Temple,-0.6,0.0,10.9,0.0,-25.1,0.0,1
UCF,16.6,0.0,22.9,0.0,49.1,-0.0,1
Houston,1.2,0.0,12.0,0.0,30.2,0.0,1
Memphis,8.2,0.0,12.1,0.0,116.0,-0.0,1
Navy,-2.5,0.0,-8.5,0.0,84.5,0.0,1
SouthernMethodist,-15.7,0.0,-4.8,0.0,-82.3,0.0,1
Tulane,-4.0,0.0,-2.2,0.0,54.6,0.0,1
Tulsa,-19.7,0.0,-5.5,0.0,-32.9,0.0,1
BostonCollege,6.3,0.0,6.3,0.0,40.3,-0.0,1
Clemson,45.5,0.0,31.7,0.0,167.2,-0.0,1
FloridaState,-10.8,0.0,-9.6,0.0,-56.6,-0.0,1
Louisville,-30.0,0.0,-24.3,0.0,-135.8,-0.0,1
NorthCarolinaState,7.7,0.0,12.9,0.0,34.6,-0.0,1
Syracuse,11.0,0.0,13.0,0.0,42.6,-0.0,1
WakeForest,-0.9,0.0,-0.8,0.0,24.8,-0.0,1
Duke,-1.8,0.0,-0.3,0.0,-59.7,0.0,1
GeorgiaTech,18.9,0.0,6.7,0.0,185.2,0.0,1
MiamiFL,16.2,0.0,12.8,0.0,70.1,-0.0,1
NorthCarolina,-11.2,0.0,-7.2,0.0,-25.8,0.0,1
Pittsburgh,8.2,0.0,-2.2,0.0,45.5,0.0,1
Virginia,3.1,0.0,6.8,0.0,13.2,-0.0,1
VirginiaTech,-6.4,0.0,-0.9,0.0,-36.3,-0.0,1
Indiana,-1.4,0.0,-3.5,0.0,-25.8,-0.0,1
Maryland,5.5,0.0,-0.2,0.0,46.3,-0.0,1
Michigan,30.3,0.0,19.3,0.0,91.3,-0.0,1
MichiganState,8.8,0.0,1.8,0.0,40.7,-0.0,1
OhioState,20.4,0.0,17.8,0.0,21.3,-0.0,1
PennState,21.7,0.0,14.6,0.0,40.1,-0.0,1
Rutgers,-21.7,0.0,-17.9,0.0,-80.2,0.0,1
Illinois,-17.2,0.0,-13.4,0.0,-1.4,-0.0,1
Iowa,17.7,0.0,14.1,0.0,57.9,-0.0,1
Minnesota,0.4,0.0,0.6,0.0,-7.3,-0.0,1
Nebraska,1.6,0.0,-1.3,0.0,13.3,-0.0,1
Northwestern,2.5,0.0,0.2,0.0,-15.1,-0.0,1
Purdue,7.6,0.0,4.7,0.0,-23.4,-0.0,1
Wisconsin,13.0,0.0,5.0,0.0,110.9,-0.0,1
Baylor,-8.1,0.0,-2.9,0.0,-15.3,-0.0,1
IowaState,2.0,0.0,4.3,0.0,2.0,-0.0,1
Kansas,-12.0,0.0,-6.2,0.0,-13.8,0.0,1
KansasState,-2.5,0.0,-2.9,0.0,24.9,-0.0,1
Oklahoma,25.4,0.0,17.1,0.0,97.2,-0.0,1
OklahomaState,3.6,0.0,6.0,0.0,12.8,-0.0,1
TCU,-0.3,0.0,0.3,0.0,6.7,-0.0,1
Texas,6.1,0.0,5.1,0.0,15.2,-0.0,1
TexasTech,2.1,0.0,6.3,0.0,-27.4,-0.0,1
WestVirginia,13.8,0.0,15.7,0.0,11.5,-0.0,1
Charlotte,-12.7,0.0,-4.9,0.0,54.5,-0.0,1
FloridaAtlantic,-4.3,0.0,-0.7,0.0,57.9,-0.0,1
FloridaInternational,-10.3,0.0,9.9,0.0,-28.4,-0.0,1
Marshall,-5.4,0.0,5.4,0.0,51.9,0.0,1
MiddleTennessee,-6.6,0.0,3.8,0.0,-25.9,0.0,1
OldDominion,-28.8,0.0,-5.1,0.0,-85.8,0.0,1
WesternKentucky,-27.2,0.0,-6.8,0.0,-35.5,0.0,1
LouisianaTech,-16.4,0.0,0.4,0.0,-30.8,0.0,1
NorthTexas,-3.0,0.0,14.6,0.0,43.2,0.0,1
Rice,-33.3,0.0,-17.1,0.0,-22.4,0.0,1
SouthernMiss,-10.1,0.0,6.4,0.0,9.9,-0.0,1
UAB,3.6,0.0,12.0,0.0,89.6,-0.0,1
UTEP,-40.4,0.0,-15.1,0.0,-72.1,0.0,1
