Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
tennessee,9,9,0,49.0,46.2,14.1
florida,4,4,0,58.0,57.6,17.1
south-carolina,20,25,5,34.3,35.2,11.9
georgia,22,32,10,33.7,36.1,11.3
kentucky,94,93,-1,8.3,12.7,13.9
vanderbilt,99,99,0,5.5,2.9,9.0
louisiana-state,25,30,5,32.8,34.8,12.4
auburn,38,43,5,27.5,26.4,10.3
mississippi,60,54,-6,20.4,19.5,11.3
alabama,36,37,1,28.2,40.2,17.4
arkansas,37,35,-2,28.1,30.6,14.2
mississippi-state,85,90,5,11.5,15.9,8.7
colorado,6,12,6,50.1,52.0,17.1
nebraska,2,1,-1,67.9,67.4,20.0
iowa-state,32,41,9,30.1,33.9,11.6
kansas-state,14,18,4,40.5,59.6,17.0
missouri,69,67,-2,18.4,26.6,14.1
kansas,95,96,1,7.8,7.1,12.0
texas,3,3,0,61.3,60.4,17.3
oklahoma,7,5,-2,49.4,49.5,14.6
texas-am,35,33,-2,29.4,32.8,13.5
texas-tech,31,38,7,30.8,35.1,16.2
oklahoma-state,76,85,9,15.7,22.9,10.0
baylor,93,97,4,8.6,9.7,14.5
oregon,5,6,1,52.1,50.1,19.3
washington-state,18,16,-2,38.5,36.2,15.5
stanford,12,14,2,43.5,44.6,20.8
washington,41,29,-12,27.2,24.5,9.7
southern-california,40,40,0,27.3,34.9,13.9
ucla,21,23,2,34.3,43.8,21.1
oregon-state,62,62,0,19.9,23.6,9.3
arizona,73,78,5,17.0,20.2,9.0
arizona-state,65,55,-10,19.0,28.2,14.4
california,101,105,4,4.7,7.2,9.8
miami-fl,1,2,1,69.8,65.1,15.4
syracuse,19,27,8,35.1,34.8,14.3
boston-college,27,21,-6,32.3,37.6,13.7
virginia-tech,11,10,-1,45.3,47.2,13.2
pittsburgh,56,66,10,21.7,27.1,11.9
temple,84,91,7,11.7,13.0,5.9
west-virginia,82,83,1,13.0,22.7,12.8
rutgers,117,118,1,0.1,-16.0,8.2
illinois,13,11,-2,43.4,38.0,16.2
michigan,17,13,-4,39.2,42.5,13.9
ohio-state,23,31,8,33.5,39.6,11.2
iowa,28,22,-6,32.1,44.0,19.0
purdue,51,42,-9,24.6,26.8,9.7
indiana,49,56,7,25.0,42.1,19.1
penn-state,57,64,7,21.3,26.3,14.5
michigan-state,59,53,-6,20.9,25.6,13.9
