Division,Score
Big Ten Conference - East,40.7
Southeastern Conference - East,40.6
Southeastern Conference - West,38.8
Big 12 Conference,37.4
Atlantic Coast Conference - Atlantic,34.7
Big Ten Conference - West,32.1
Pac-12 Conference - South,30.2
Atlantic Coast Conference - Coastal,29.3
Sun Belt Conference - East,27.6
Mountain West Conference - Mountain,26.1
Pac-12 Conference - North,26.0
American Athletic Conference,23.9
Independent,22.3
Mid-American Conference - West,21.0
Sun Belt Conference - West,19.9
Mountain West Conference - West,19.6
Conference USA - West,19.2
Mid-American Conference - East,14.8
Conference USA - East,11.4
FCS,1.3
